municipioNotificacao,count
Santana do Manhuaçu,244
Varzelândia,243
São Roque de Minas,243
Dom Silvério,242
Guimarânia,242
Jeceaba,240
Baldim,240
Tapira,239
Delfim Moreira,239
São Sebastião do Rio Verde,238
Setubinha,237
Lamim,237
Padre Paraíso,236
Angelândia,235
Entre Folhas,235
Grupiara,234
Silvianópolis,232
Rio Manso,231
Antônio Dias,230
Urucânia,230
Santa Bárbara do Monte Verde,226
Fernandes Tourinho,226
Couto de Magalhães de Minas,225
Ponto dos Volantes,223
Corinto,221
São João das Missões,221
São Gonçalo do Rio Preto,220
Divinolândia de Minas,220
Conceição de Ipanema,220
São Romão,220
Santa Bárbara do Tugúrio,218
Tumiritinga,217
Taquaraçu de Minas,215
Joanésia,215
Paula Cândido,215
Pedra do Indaiá,214
Andrelândia,214
Catas Altas,213
Santo Antônio do Amparo,213
Santa Maria do Salto,213
Quartel Geral,211
Wenceslau Braz,211
Senador Amaral,210
Fortuna de Minas,210
Riachinho,209
Frei Inocêncio,209
Rosário da Limeira,207
Gonzaga,206
Ewbank da Câmara,205
Ladainha,204
Guaraciama,203
Joaquim Felício,203
União de Minas,203
Jordânia,203
Santo Antônio do Itambé,201
Ferros,201
Conceição do Pará,201
Aricanduva,200
Santana de Pirapama,200
Grão Mogol,199
Santo Antônio do Grama,197
Salto da Divisa,197
Tabuleiro,197
Dona Eusébia,196
Senador Modestino Gonçalves,196
Itacarambi,196
Novo Cruzeiro,196
Romaria,195
Curral de Dentro,191
Matutina,190
Antônio Prado de Minas,189
Ninheira,188
Maravilhas,187
Perdigão,185
Santo Antônio do Jacinto,184
Dores do Turvo,184
Heliodora,184
Carrancas,183
Piranguçu,182
Itutinga,180
Senador Cortes,180
São Sebastião do Anta,179
Itumirim,178
Córrego do Bom Jesus,178
Divisa Alegre,177
São José do Alegre,176
Luislândia,175
Miradouro,175
Queluzito,173
Faria Lemos,173
Vargem Bonita,173
Comendador Gomes,172
Coluna,171
Tarumirim,170
Lontra,170
Dom Cavati,169
Ubaporanga,169
Cipotânea,169
Palmópolis,169
Salinas,168
Pavão,168
São Sebastião da Bela Vista,168
Pedra do Anta,168
São Pedro dos Ferros,167
Mathias Lobato,166
Jequitaí,166
Novo Oriente de Minas,165
Chiador,164
Conceição da Barra de Minas,164
Brás Pires,163
Catas Altas da Noruega,162
Ubaí,162
Liberdade,160
Naque,159
Pai Pedro,158
Espírito Santo do Dourado,158
Japonvar,155
Jequeri,154
Bandeira,154
Sobrália,154
Malacacheta,154
Tombos,153
Dores de Guanhães,152
Rubelita,151
Cajuri,151
Albertina,151
Presidente Juscelino,149
Capetinga,149
Itinga,149
Botumirim,148
São Gonçalo do Abaeté,148
Itaverava,147
Augusto de Lima,146
Rio do Prado,145
Jampruca,144
Divisópolis,144
Capela Nova,142
Estrela do Indaiá,141
Varjão de Minas,141
Inimutaba,141
Coronel Pacheco,141
São João da Mata,140
Ingaí,139
Alto Caparaó,139
Cruzeiro da Fortaleza,138
Soledade de Minas,137
Buenópolis,137
Leme do Prado,136
Santa Bárbara do Leste,136
Monjolos,136
Felício dos Santos,135
Douradoquara,135
Carmo da Cachoeira,135
Ijaci,135
Cristiano Otoni,134
Abadia dos Dourados,133
Córrego Danta,132
Coimbra,132
Pingo-d'Água,131
Carvalhos,131
Piau,131
Reduto,129
Pedro Teixeira,129
Pintópolis,129
Bom Jesus da Penha,129
Bocaina de Minas,128
Matias Cardoso,128
Morro da Garça,128
Bom Jesus do Galho,128
Cordislândia,126
Sericita,125
São Pedro do Suaçuí,125
Santana do Deserto,124
Presidente Bernardes,124
Pedrinópolis,122
Sem-Peixe,122
Santa Rosa da Serra,122
São João do Oriente,121
São João do Manhuaçu,121
São João da Ponte,120
São João do Pacuí,120
São João da Lagoa,120
Presidente Kubitschek,119
Itamarati de Minas,119
Cedro do Abaeté,117
Cuparaque,117
Santana da Vargem,116
Galiléia,115
Araçaí,114
Morro do Pilar,113
Catuji,113
Central de Minas,112
Paiva,112
São Geraldo da Piedade,112
Marmelópolis,111
Açucena,110
Santana dos Montes,110
Estrela Dalva,109
Mendes Pimentel,109
Cachoeira Dourada,108
Biquinhas,108
São Miguel do Anta,107
São Bento Abade,106
Santa Cruz do Escalvado,106
Tiros,106
Chácara,106
Desterro do Melo,105
Luisburgo,105
Durandé,104
Caparaó,103
Serra dos Aimorés,102
Padre Carvalho,102
Tocantins,101
Catuti,99
Nova Módica,99
Leandro Ferreira,98
Comercinho,98
Seritinga,98
Olímpio Noronha,97
Munhoz,97
Santa Rita de Minas,97
Barra Longa,95
Senhora de Oliveira,95
Pequi,95
Alvarenga,95
Divino das Laranjeiras,95
Serranópolis de Minas,93
Itacambira,93
Dionísio,92
Onça de Pitangui,91
São Geraldo do Baixio,91
Marliéria,91
Materlândia,90
São José da Safira,89
Congonhas do Norte,89
Paineiras,89
Alvorada de Minas,89
Itaipé,88
Turvolândia,88
Barão de Monte Alto,87
Santa Margarida,87
Amparo do Serra,85
Camacho,85
Conceição das Pedras,83
Santa Helena de Minas,82
Frei Gaspar,81
Crisólita,81
Ibiaí,81
Marilac,80
Pedra Bonita,79
Rio Novo,79
Mutum,78
Gameleiras,78
São Sebastião do Maranhão,77
São Félix de Minas,77
Pocrane,77
Nova Belém,76
Rochedo de Minas,76
Doresópolis,76
Mamonas,76
Guaraciaba,75
Campo do Meio,75
Ibituruna,75
Braúnas,74
Água Boa,74
Arantina,73
Patrocínio do Muriaé,73
Pedras de Maria da Cruz,73
Ouro Verde de Minas,72
Alagoa,72
Casa Grande,72
Orizânia,70
Cachoeira de Pajeú,68
Oliveira Fortes,68
São Francisco do Glória,67
Santana do Garambéu,66
Francisco Dumont,66
Araponga,65
Abre Campo,65
Glaucilândia,65
Passa Tempo,65
Bias Fortes,63
Cambuí,63
Caputira,63
Senador José Bento,61
Coronel Murta,60
Serra Azul de Minas,60
Silveirânia,60
Josenópolis,59
Fervedouro,59
Pratinha,59
Monte Formoso,59
Santa Rita do Itueto,58
Serra da Saudade,58
Senhora dos Remédios,57
Ibiracatu,56
Miravânia,55
Icaraí de Minas,55
Passa-Vinte,53
Novorizonte,53
Lagoa dos Patos,52
Cantagalo,51
Juramento,51
Patis,51
Córrego Novo,51
Vieiras,50
Aracitaba,50
Montezuma,50
Vargem Alegre,48
Águas Vermelhas,46
Diogo de Vasconcelos,46
Santo Hipólito,46
José Raydan,45
Martins Soares,45
Juvenília,45
Serranos,45
Periquito,44
Itambé do Mato Dentro,43
Mar de Espanha,43
Caranaíba,41
Mata Verde,41
Oratórios,41
Congonhal,40
Santa Fé de Minas,40
Dores de Campos,40
Passabém,39
Arapuá,39
São João do Manteninha,38
Jesuânia,38
Capitólio,37
Mesquita,37
Veredinha,37
Dom Joaquim,36
Simão Pereira,36
Santos Dumont,36
Iraí de Minas,35
São Domingos das Dores,34
Vargem Grande do Rio Pardo,34
José Gonçalves de Minas,34
Fruta de Leite,32
Piedade dos Gerais,32
Acaiaca,31
Bonfinópolis de Minas,31
Sardoá,28
Piedade de Ponte Nova,26
Frei Lagonegro,24
Olaria,24
Alpercata,23
Nova Porteirinha,23
Tapiraí,21
Iapu,20
Ataléia,20
Caiana,20
Jaguaraçu,20
Santo Antônio do Retiro,20
Rio Doce,20
São Sebastião do Rio Preto,18
