Município,População
Santana de Cataguases,3553
Santana de Pirapama,7079
Santana do Deserto,3819
Santana do Garambéu,2175
Santana do Jacaré,4265
Santana do Manhuaçu,9236
Santana do Paraíso,48286
Santana do Riacho,5579
Santana dos Montes,3507
Santa Rita de Caldas,8588
Santa Rita de Jacutinga,4836
Santa Rita de Minas,6952
Santa Rita de Ibitipoca,3344
Santa Rita do Itueto,5973
Santa Rita do Sapucaí,42320
Santa Rosa da Serra,3476
Santa Vitória,21745
Santo Antônio do Amparo,17651
Santo Antônio do Aventureiro,3881
Santo Antônio do Grama,4342
Santo Antônio do Itambé,3979
Santo Antônio do Jacinto,10397
Santo Antônio do Monte,28358
Santo Antônio do Retiro,6743
Santo Antônio do Rio Abaixo,1853
Santo Hipólito,2720
Santos Dumont,43392
São Bento Abade,4835
São Brás do Suaçuí,4133
São Domingos das Dores,5778
São Domingos do Prata,17771
São Félix de Minas,3252
São Francisco,54239
São Francisco de Paula,6293
São Francisco de Sales,5857
São Francisco do Glória,4866
São Geraldo,10517
São Geraldo da Piedade,3258
São Geraldo do Baixio,3175
São Gonçalo do Abaeté,7521
São Gonçalo do Pará,12192
São Gonçalo do Rio Abaixo,12353
São Gonçalo do Rio Preto,3098
São Gonçalo do Sapucaí,24480
São Gotardo,43309
São João Batista do Glória,7912
São João da Lagoa,4950
São João da Mata,3000
São João da Ponte,24269
São João das Missões,13467
São João del Rei,94062
São João do Manhuaçu,11614
São João do Manteninha,5468
São João do Oriente,7139
São João do Pacuí,4052
São João do Paraíso,24604
São João Evangelista,15617
São João Nepomuceno,26478
São Joaquim de Bicas,36496
São José da Barra,8084
São José da Lapa,27710
São José da Safira,3861
São José da Varginha,4677
São José do Alegre,4242
São José do Divino,3501
São José do Goiabal,5492
São José do Jacuri,6298
São José do Mantimento,2834
São Lourenço,46653
São Miguel do Anta,6430
São Pedro da União,4979
São Pedro dos Ferros,7194
São Pedro do Suaçuí,5166
São Romão,10553
São Roque de Minas,7341
São Sebastião da Bela Vista,6694
São Sebastião da Vargem Alegre,3219
São Sebastião do Anta,6386
São Sebastião do Maranhão,10244
São Sebastião do Oeste,9355
São Sebastião do Paraíso,74742
São Sebastião do Rio Preto,1248
São Sebastião do Rio Verde,2373
São Tiago,11517
São Tomás de Aquino,6853
São Tomé das Letras,7089
São Vicente de Minas,6935
Sapucaí-Mirim,6462
Sardoá,5164
Sarzedo,39327
Setubinha,10032
Sem-Peixe,2441
Senador Amaral,6458
Senador Cortes,2319
Senador Firmino,7945
Senador José Bento,2137
Senador Modestino Gonçalves,4035
Senhora de Oliveira,5584
Senhora do Porto,3088
Senhora dos Remédios,10640
Sericita,7536
Seritinga,1864
Serra Azul de Minas,3829
Serra da Saudade,854
Serra dos Aimorés,6936
Serra do Salitre,12210
