municipioNotificacao,count
Bonfim,1645
Corinto,1643
Medina,1626
Francisco Badaró,1616
Virgolândia,1613
Cachoeira da Prata,1608
Lagoa Dourada,1607
Engenheiro Caldas,1603
Piranguinho,1601
Jacinto,1601
Itueta,1588
Bom Jardim de Minas,1586
Inhaúma,1540
Nazareno,1538
Belmiro Braga,1529
Santana do Riacho,1528
Cascalho Rico,1527
Porto Firme,1527
Monte Azul,1525
Palma,1510
Aguanil,1484
Gonzaga,1482
Berilo,1464
Ribeirão Vermelho,1463
Nacip Raydan,1448
São Geraldo,1448
Paulistas,1446
Tumiritinga,1440
Uruana de Minas,1432
Antônio Dias,1430
Fama,1430
Ubaí,1429
São Sebastião da Vargem Alegre,1422
Campo Azul,1422
Fronteira dos Vales,1414
São Sebastião do Oeste,1413
Ibertioga,1405
Santa Maria do Suaçuí,1405
Franciscópolis,1396
Claro dos Poções,1395
Jeceaba,1395
Formoso,1392
Santa Rita do Sapucaí,1384
Naque,1382
Dom Viçoso,1380
São Vicente de Minas,1378
Cordisburgo,1373
Florestal,1361
Ipiaçu,1361
Couto de Magalhães de Minas,1358
Canaã,1353
Pescador,1348
Entre Folhas,1345
Imbé de Minas,1342
Funilândia,1342
São José do Goiabal,1313
Varzelândia,1310
Ponto dos Volantes,1307
Rio Manso,1299
Salinas,1296
Urucânia,1290
Santo Antônio do Amparo,1289
Tapira,1281
São Gonçalo do Rio Preto,1278
São Roque de Minas,1276
São Sebastião do Rio Verde,1274
Argirita,1264
Frei Inocêncio,1262
Goiabeira,1245
Taquaraçu de Minas,1242
Joanésia,1238
Salto da Divisa,1235
São Romão,1232
Baldim,1231
Grupiara,1229
Silvianópolis,1224
Divinolândia de Minas,1223
São João das Missões,1222
Setubinha,1219
Dom Silvério,1217
Joaquim Felício,1203
Fernandes Tourinho,1203
Andrelândia,1202
Santa Bárbara do Monte Verde,1199
Santana do Manhuaçu,1197
Padre Paraíso,1196
Guaraciama,1194
Cônego Marinho,1188
União de Minas,1185
Coluna,1182
Santa Maria do Salto,1175
Passa Tempo,1163
Santo Antônio do Itambé,1155
Angelândia,1148
Riachinho,1143
Conceição de Ipanema,1139
Ladainha,1138
Guimarânia,1136
Pedra do Indaiá,1129
Lamim,1126
Malacacheta,1125
Dores de Guanhães,1119
Wenceslau Braz,1112
Conceição do Pará,1104
Paula Cândido,1092
Dona Eusébia,1089
Catas Altas,1084
Jordânia,1073
Senador Amaral,1063
Rosário da Limeira,1061
Santana da Vargem,1060
Tabuleiro,1056
Ewbank da Câmara,1055
Ninheira,1052
Carrancas,1052
Aricanduva,1049
Mathias Lobato,1045
Ijaci,1041
Queluzito,1038
Novo Cruzeiro,1037
Santa Bárbara do Tugúrio,1035
Grão Mogol,1031
Ferros,1029
Itumirim,1028
Fortuna de Minas,1022
Romaria,1018
São Pedro dos Ferros,1006
Capetinga,1004
Senador Modestino Gonçalves,996
Quartel Geral,995
São José do Alegre,994
Santo Antônio do Jacinto,992
Santana de Pirapama,992
Dores do Turvo,989
Perdigão,973
Tarumirim,970
Itacarambi,965
São Geraldo da Piedade,960
Matutina,955
Piranguçu,953
Antônio Prado de Minas,952
Lontra,942
Miradouro,935
São Sebastião do Anta,927
Cajuri,926
Maravilhas,923
Pavão,922
Bom Jesus do Galho,922
Carmo da Cachoeira,920
Japonvar,918
Santo Antônio do Grama,916
Faria Lemos,909
Curral de Dentro,906
Córrego do Bom Jesus,905
Rio do Prado,904
Itutinga,897
Heliodora,893
Dom Cavati,893
Itamarati de Minas,889
Conceição da Barra de Minas,882
Comendador Gomes,882
Novo Oriente de Minas,867
São Gonçalo do Abaeté,866
Sobrália,863
Matias Cardoso,859
Brás Pires,858
São Sebastião da Bela Vista,855
São João do Oriente,855
Pedra do Anta,842
Jequeri,836
Espírito Santo do Dourado,831
Divisa Alegre,821
Luislândia,819
Pintópolis,812
Cipotânea,809
Alto Caparaó,802
Liberdade,799
Chiador,798
Rubelita,795
Jequitaí,794
Divisópolis,792
Catas Altas da Noruega,791
Capela Nova,788
Bandeira,787
Douradoquara,787
Ingaí,780
Itinga,776
Pai Pedro,773
Jampruca,768
Vargem Bonita,766
Senador Cortes,765
Felício dos Santos,765
Itaverava,760
Cruzeiro da Fortaleza,757
Sericita,757
Inimutaba,755
Bom Jesus da Penha,751
Tombos,750
Presidente Bernardes,750
Estrela do Indaiá,744
Córrego Danta,741
Pingo-d'Água,739
Catuji,739
Presidente Juscelino,738
Varjão de Minas,736
Soledade de Minas,736
Coimbra,721
Monjolos,719
Albertina,712
São João da Mata,712
Piau,710
Buenópolis,702
Augusto de Lima,699
Morro do Pilar,699
Leme do Prado,696
São Pedro do Suaçuí,693
Tiros,684
São João da Ponte,676
Seritinga,671
Dionísio,669
Santa Rosa da Serra,669
Bocaina de Minas,666
Presidente Kubitschek,661
Morro da Garça,653
Marmelópolis,649
Pedro Teixeira,648
Cordislândia,646
Galiléia,641
Caparaó,640
Cuparaque,639
Pedrinópolis,637
São João do Manhuaçu,628
São Miguel do Anta,626
Munhoz,623
Cedro do Abaeté,620
Mendes Pimentel,619
Estrela Dalva,619
Carvalhos,616
Reduto,614
Cristiano Otoni,612
Botumirim,609
Amparo do Serra,602
Santa Cruz do Escalvado,601
Santana do Deserto,596
Barra Longa,596
Desterro do Melo,594
Tocantins,586
Santa Bárbara do Leste,586
Serra dos Aimorés,576
São Bento Abade,572
Abadia dos Dourados,567
Marliéria,560
Catuti,557
Açucena,541
São Geraldo do Baixio,536
Senhora de Oliveira,534
Padre Carvalho,534
São João da Lagoa,530
Comercinho,530
Sem-Peixe,524
Paiva,522
Durandé,521
Cachoeira Dourada,515
Biquinhas,515
Santana dos Montes,512
Onça de Pitangui,512
Divino das Laranjeiras,512
Araçaí,510
Santa Rita de Minas,510
Água Boa,509
Chácara,509
Central de Minas,502
Luisburgo,500
São João do Pacuí,499
Iapu,487
Paineiras,487
Santa Margarida,483
Braúnas,481
Pedras de Maria da Cruz,481
Turvolândia,481
Leandro Ferreira,480
Pequi,480
Serranópolis de Minas,478
Olímpio Noronha,475
Nova Módica,473
Congonhas do Norte,473
Itaipé,469
Materlândia,469
Camacho,466
Pocrane,460
Alvarenga,451
Santa Helena de Minas,448
Rochedo de Minas,444
Doresópolis,439
Frei Gaspar,438
São Sebastião do Maranhão,438
Conceição das Pedras,437
Ibituruna,435
Alvorada de Minas,428
Verdelândia,424
Arantina,423
Mutum,421
Crisólita,421
Pedra Bonita,421
Itacambira,418
Alagoa,416
São José da Safira,414
Barão de Monte Alto,413
Ouro Verde de Minas,412
Marilac,406
Mar de Espanha,394
Ibiaí,392
Patrocínio do Muriaé,392
Gameleiras,391
Caputira,384
Cachoeira de Pajeú,381
Coronel Murta,379
Rio Novo,372
Josenópolis,372
Mamonas,371
São Félix de Minas,369
Nova Belém,361
São Francisco do Glória,361
Campo do Meio,354
Fervedouro,351
Francisco Dumont,349
Casa Grande,345
Araponga,342
Silveirânia,341
Serra Azul de Minas,340
Orizânia,339
José Raydan,329
Guaraciaba,328
Bias Fortes,328
Jaguaraçu,325
Oliveira Fortes,321
Santa Rita do Itueto,318
Monte Formoso,317
Serra da Saudade,316
